,,,,,perplexity,trainTime
LSTM,64,2,False,250,1.8642797167748526,0.5585083961486816
LSTM,64,3,True,50,70.57352270575832,0.558506965637207
LSTM,64,3,True,100,12.530133504702938,0.5485363006591797
LSTM,64,3,True,150,4.9741733242066,0.5445153713226318
LSTM,64,3,True,200,2.8157656499652823,0.5565111637115479
LSTM,64,3,True,250,2.0485509731902667,0.5458428859710693
LSTM,64,3,False,50,65.84923716778144,0.551424503326416
LSTM,64,3,False,100,11.049661797572373,0.5525405406951904
LSTM,64,3,False,150,4.488771674664858,0.5598659515380859
LSTM,64,3,False,200,2.764696998123242,0.6004641056060791
LSTM,64,3,False,250,1.973240917462935,0.5585072040557861
LSTM,128,1,True,50,14.840948200166766,0.6512637138366699
LSTM,128,1,True,100,2.48968512221418,0.6468343734741211
LSTM,128,1,True,150,1.374618299633453,0.6394298076629639
LSTM,128,1,True,200,1.1195935905042778,0.6416959762573242
LSTM,128,1,True,250,1.0516142433041487,0.6492352485656738
LSTM,128,1,False,50,12.776156161132798,0.6512060165405273
LSTM,128,1,False,100,2.4283506958819947,0.6567776203155518
LSTM,128,1,False,150,1.3740812067068329,0.6723330020904541
LSTM,128,1,False,200,1.1259627083775687,0.6413149833679199
LSTM,128,1,False,250,1.0575660057785239,0.6568055152893066
LSTM,128,2,True,50,11.273827431041207,0.6432366371154785
LSTM,128,2,True,100,2.1046107802791467,0.6475944519042969
LSTM,128,2,True,150,1.2582985138083889,0.653064489364624
LSTM,128,2,True,200,1.0894883098533565,0.673438549041748
LSTM,128,2,True,250,1.0420053795437307,0.6523962020874023
LSTM,128,2,False,50,13.517898329653043,0.6502604484558105
LSTM,128,2,False,100,2.4641517765077876,0.6497147083282471
LSTM,128,2,False,150,1.417890459672923,0.6498298645019531
LSTM,128,2,False,200,1.1532249380959685,0.6534693241119385
LSTM,128,2,False,250,1.060710359576787,0.646054744720459
LSTM,128,3,True,50,13.890679323918098,0.641171932220459
LSTM,128,3,True,100,2.425933278162012,0.6588611602783203
LSTM,128,3,True,150,1.3594637383851615,0.6512594223022461
LSTM,128,3,True,200,1.1420306502332223,0.6399869918823242
LSTM,128,3,True,250,1.052556448990394,0.6523828506469727
LSTM,128,3,False,50,19.606357195924144,0.6604640483856201
LSTM,128,3,False,100,2.973916517162207,0.6642298698425293
LSTM,128,3,False,150,1.5428848434214828,0.6721975803375244
LSTM,128,3,False,200,1.2085252142971135,0.649402379989624
LSTM,128,3,False,250,1.0933334602495017,0.6652297973632812
LSTM,256,1,True,50,5.464667383375877,0.8636600971221924
LSTM,256,1,True,100,1.3109004853081672,0.8818588256835938
LSTM,256,1,True,150,1.062715466104966,0.8672466278076172
LSTM,256,1,True,200,1.0321521226741557,0.8637638092041016
LSTM,256,1,True,250,1.0216911773023098,0.8647994995117188
LSTM,256,1,False,50,5.915423590888704,0.879077672958374
LSTM,256,1,False,100,1.3586179951229842,0.859713077545166
LSTM,256,1,False,150,1.0693775024805086,0.8846549987792969
LSTM,256,1,False,200,1.034101637707018,0.8714809417724609
LSTM,256,1,False,250,1.0263031359972887,0.8636927604675293
LSTM,256,2,True,50,4.363815535491208,0.8643856048583984
LSTM,256,2,True,100,1.2124246463994173,0.8683037757873535
LSTM,256,2,True,150,1.0445967296002763,0.8696768283843994
LSTM,256,2,True,200,1.0287652272966126,0.8713803291320801
LSTM,256,2,True,250,1.023976027450091,0.8646953105926514
LSTM,256,2,False,50,5.990727255892365,0.865713357925415
LSTM,256,2,False,100,1.3690521049469047,0.8780245780944824
LSTM,256,2,False,150,1.066745068767332,0.8712093830108643
LSTM,256,2,False,200,1.0355646716925564,0.8634302616119385
LSTM,256,2,False,250,1.0216136001634193,0.8631677627563477
LSTM,256,3,True,50,4.7177452674819005,0.8806459903717041
LSTM,256,3,True,100,1.2512165345654656,0.8749861717224121
LSTM,256,3,True,150,1.0524874623287477,0.8648922443389893
LSTM,256,3,True,200,1.031039256156673,0.8603932857513428
LSTM,256,3,True,250,1.0230060904436276,0.8777642250061035
LSTM,256,3,False,50,4.755963694084811,0.882824182510376
LSTM,256,3,False,100,1.2454364793500237,0.8708086013793945
LSTM,256,3,False,150,1.049605580233234,0.8693761825561523
LSTM,256,3,False,200,1.0309359065204597,0.8678083419799805
LSTM,256,3,False,250,1.023595356398706,0.8662598133087158
LSTM,512,1,True,50,1.4062228366457004,1.4420971870422363
LSTM,512,1,True,100,1.0448579967223541,1.4142472743988037
LSTM,512,1,True,150,1.0272835000163534,1.4267494678497314
LSTM,512,1,True,200,1.0231231985488645,1.4241893291473389
LSTM,512,1,True,250,1.0213404711370015,1.4269096851348877
LSTM,512,1,False,50,1.3564345161285127,1.4194986820220947
LSTM,512,1,False,100,1.0380221105022926,1.418781042098999
LSTM,512,1,False,150,1.027348438959112,1.4236412048339844
LSTM,512,1,False,200,1.021640144824408,1.4232382774353027
LSTM,512,1,False,250,1.0228195544146723,1.440258502960205
LSTM,512,2,True,50,1.4850679408178369,1.4203059673309326
LSTM,512,2,True,100,1.046832587153968,1.4218780994415283
LSTM,512,2,True,150,1.0300981949168004,1.4231235980987549
LSTM,512,2,True,200,1.0216611563267766,1.4218003749847412
LSTM,512,2,True,250,1.0236487392312072,1.4190177917480469
LSTM,512,2,False,50,1.1924080857224262,1.4289062023162842
LSTM,512,2,False,100,1.041767068253363,1.4235448837280273
LSTM,512,2,False,150,1.029448897410861,1.428309440612793
LSTM,512,2,False,200,1.020510038136591,1.421337366104126
LSTM,512,2,False,250,1.0307351281316783,1.4237322807312012
LSTM,512,3,True,50,1.53825171852588,1.4213039875030518
LSTM,512,3,True,100,1.0432828738719562,1.417335033416748
LSTM,512,3,True,150,1.0287974597936342,1.418274164199829
LSTM,512,3,True,200,1.0223890639121829,1.4197406768798828
LSTM,512,3,True,250,1.0207509526608851,1.427316665649414
LSTM,512,3,False,50,1.2530356055325218,1.425783395767212
LSTM,512,3,False,100,1.0407474235172973,1.4203777313232422
LSTM,512,3,False,150,1.027592304132362,1.4252190589904785
LSTM,512,3,False,200,1.025055457313561,1.4302799701690674
LSTM,512,3,False,250,1.0232725361376578,1.4188034534454346
